#tax_id	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
9	-	1246494	repA1	20031113
9	-	1246495	repA2	20031113
9	-	1246496	leuA	20031113
9	-	1246497	leuB	20031113
9	-	1246498	leuC	20031113
9	-	1246499	leuD	20031113
9	-	1246500	repA1	20200801
9	-	1246501	repA2	20200801
9	-	1246502	leuA	20200801
9	-	1246503	leuB	20200801
9	-	1246504	leuC	20200801
9	-	1246505	leuD	20200801
9	-	1246506	yqhA	20031113
9	-	1246507	repA2	20031113
9	-	1246508	repA1	20031113
9	-	1246509	ibp	20200801
9	-	1246510	repA1	20200801
9	-	3722426	pLeuDn_02	20200801
9	-	8655732	leuC	20200801
9	-	8655733	leuD	20200801
9	-	8655734	leuA	20200801
9	-	8655735	repA	20200801
9	-	8655736	leuB	20200801
9	-	20468915	trpG	20200801
9	-	20468916	trpE	20200801
24	-	24952829	jef	20150716
24	-	67441717	JEZ96_RS00625	20211229
24	-	67441718	JEZ96_RS00630	20211229
24	-	67441720	JEZ96_RS00640	20211229
24	-	67441866	JEZ96_RS01370	20211229
24	-	67441911	JEZ96_RS01595	20211229
24	-	67441912	JEZ96_RS01600	20211229
24	-	67442070	JEZ96_RS02390	20211229
24	-	67442252	JEZ96_RS03300	20211229
24	-	67442930	JEZ96_RS06690	20211229
24	-	67443190	JEZ96_RS07990	20220521
24	-	67443245	JEZ96_RS08265	20211229
24	-	67443701	JEZ96_RS10545	20220521
24	-	67443726	JEZ96_RS10670	20211229
24	-	67443874	JEZ96_RS11410	20211229
24	-	67444146	JEZ96_RS12770	20220521
24	-	67444507	JEZ96_RS14575	20241215
24	-	67444552	JEZ96_RS14800	20211229
24	-	67444580	JEZ96_RS14940	20211229
24	-	67444664	JEZ96_RS15360	20211229
24	-	67444786	JEZ96_RS15970	20220521
24	-	67444848	JEZ96_RS16280	20211229
24	-	67444983	JEZ96_RS16955	20211229
24	-	67445172	JEZ96_RS17900	20211229
24	-	69201717	JEZ96_RS19465	20220521
24	-	69201718	JEZ96_RS19470	20220521
24	-	69201732	JEZ96_RS19540	20241215
24	-	69201733	JEZ96_RS19545	20241215
24	-	69201735	JEZ96_RS19555	20220521
24	-	72485293	dnaA	20221027
24	-	72485294	dnaN	20221027
24	-	72485295	recF	20221027
24	-	72485296	gyrB	20221027
24	-	72485297	MZ182_RS00025	20221027
24	-	72485298	glyS	20221027
24	-	72485299	glyQ	20221027
24	-	72485300	MZ182_RS00040	20221027
24	-	72485301	MZ182_RS00045	20221027
24	-	72485302	MZ182_RS00050	20221027
24	-	72485303	tusA	20221027
24	-	72485304	fadA	20221027
24	-	72485305	fadB	20221027
24	-	72485306	pepQ	20221027
24	-	72485307	MZ182_RS00075	20221027
24	-	72485308	MZ182_RS00080	20221027
24	-	72485309	hemG	20221027
24	-	72485310	MZ182_RS00090	20221027
24	-	72485311	hemG	20221027
24	-	72485312	MZ182_RS00100	20221027
24	-	72485313	trkA	20221027
24	-	72485314	rsmB	20221027
24	-	72485315	fmt	20221027
24	-	72485316	def	20221027
24	-	72485317	MZ182_RS00125	20221027
24	-	72485318	dprA	20221027
24	-	72485319	MZ182_RS00135	20221027
24	-	72485320	MZ182_RS00140	20221027
24	-	72485321	MZ182_RS00145	20221027
24	-	72485322	hemF	20221027
24	-	72485323	MZ182_RS00155	20221027
24	-	72485324	aroE	20221027
24	-	72485325	MZ182_RS00165	20221027
24	-	72485326	MZ182_RS00170	20221027
24	-	72485327	MZ182_RS00175	20221027
24	-	72485328	MZ182_RS00180	20221027
24	-	72485329	rrf	20221027
24	-	72485330	MZ182_RS00190	20221027
24	-	72485331	MZ182_RS00195	20221027
24	-	72485332	MZ182_RS00200	20221027
24	-	72485333	add	20221027
24	-	72485334	hemN	20221027
24	-	72485335	MZ182_RS00215	20221027
24	-	72485336	yihI	20221027
24	-	72485337	MZ182_RS00225	20221027
24	-	72485338	MZ182_RS00230	20221027
24	-	72485339	yihA	20221027
24	-	72485340	polA	20221027
24	-	72485341	elbB	20221027
24	-	72485342	glpG	20221027
24	-	72485343	glpE	20221027
24	-	72485344	tdh	20221027
24	-	72485345	MZ182_RS00265	20221027
24	-	72485346	MZ182_RS00270	20221027
24	-	72485347	waaA	20221027
24	-	72485348	MZ182_RS00280	20221027
24	-	72485349	MZ182_RS00285	20221027
24	-	72485350	MZ182_RS00290	20221027
24	-	72485351	MZ182_RS00295	20221027
24	-	72485352	glf	20221027
24	-	72485353	MZ182_RS00305	20221027
24	-	72485354	MZ182_RS00310	20221027
24	-	72485355	rfbD	20221027
24	-	72485356	rfbC	20221027
24	-	72485357	MZ182_RS00325	20221027
24	-	72485358	coaD	20221027
24	-	72485359	MZ182_RS00335	20221027
24	-	72485360	mutM	20221027
24	-	72485361	MZ182_RS00345	20221027
24	-	72485362	moaA	20221027
24	-	72485363	MZ182_RS00355	20221027
24	-	72485364	mobA	20221027
24	-	72485365	MZ182_RS00365	20221027
24	-	72485366	MZ182_RS00370	20221027
24	-	72485367	MZ182_RS00375	20221027
24	-	72485368	MZ182_RS00380	20221027
24	-	72485369	MZ182_RS00385	20221027
24	-	72485370	MZ182_RS00390	20221027
24	-	72485371	MZ182_RS00395	20221027
24	-	72485372	MZ182_RS00400	20221027
24	-	72485373	MZ182_RS00405	20221027
24	-	72485374	MZ182_RS00410	20221027
24	-	72485375	MZ182_RS00415	20221027
24	-	72485376	MZ182_RS00420	20221027
24	-	72485377	MZ182_RS00425	20221027
24	-	72485378	MZ182_RS00430	20221027
24	-	72485379	MZ182_RS00435	20221027
24	-	72485380	MZ182_RS00440	20221027
24	-	72485381	MZ182_RS00445	20221027
24	-	72485382	MZ182_RS00450	20221027
24	-	72485383	MZ182_RS00455	20221027
24	-	72485384	MZ182_RS00460	20221027
24	-	72485385	cyoE	20221027
24	-	72485386	cyoD	20221027
24	-	72485387	cyoC	20221027
24	-	72485388	cyoB	20221027
24	-	72485389	cyoA	20221027
24	-	72485390	MZ182_RS00490	20221027
24	-	72485391	MZ182_RS00495	20221027
24	-	72485392	MZ182_RS00500	20221027
24	-	72485393	MZ182_RS00505	20221027
24	-	72485394	MZ182_RS00510	20221027
24	-	72485395	MZ182_RS00515	20221027
24	-	72485396	MZ182_RS00520	20221027
24	-	72485397	MZ182_RS00525	20221027
24	-	72485398	MZ182_RS00530	20221027
24	-	72485399	MZ182_RS00535	20221027
24	-	72485400	envZ	20221027
24	-	72485401	ompR	20221027
24	-	72485402	greB	20221027
24	-	72485403	MZ182_RS00555	20221027
24	-	72485404	MZ182_RS00560	20221027
24	-	72485405	MZ182_RS00565	20221027
24	-	72485406	bioH	20221027
24	-	72485407	MZ182_RS00575	20221027
24	-	72485408	MZ182_RS00580	20221027
24	-	72485409	MZ182_RS00585	20221027
24	-	72485410	MZ182_RS00590	20221027
24	-	72485411	MZ182_RS00595	20221027
24	-	72485412	urdA	20221027
24	-	72485413	nfuA	20221027
24	-	72485414	MZ182_RS00610	20221027
24	-	72485415	MZ182_RS00615	20221027
24	-	72485416	MZ182_RS00620	20221027
24	-	72485417	MZ182_RS00625	20221027
24	-	72485418	MZ182_RS00630	20221027
24	-	72485419	cyoE	20221027
24	-	72485420	MZ182_RS00640	20221027
24	-	72485421	MZ182_RS00645	20221027
24	-	72485422	MZ182_RS00650	20221027
24	-	72485423	MZ182_RS00655	20221027
24	-	72485424	MZ182_RS00660	20221027
24	-	72485425	MZ182_RS00665	20221027
24	-	72485426	MZ182_RS00670	20221027
24	-	72485427	MZ182_RS00675	20221027
24	-	72485428	ctaD	20221027
24	-	72485429	coxB	20221027
24	-	72485430	MZ182_RS00690	20221027
24	-	72485431	lexA	20221027
24	-	72485432	plsB	20221027
24	-	72485433	mtr	20221027
24	-	72485434	MZ182_RS00710	20221027
24	-	72485435	murB	20221027
24	-	72485436	birA	20221027
24	-	72485437	coaA	20221027
